E_P_longicornis,Omega_P_longicornis,tau_stress_P_longicornis,tau_critical_P_longicornis,E_S_geminata,Omega_S_geminata,tau_stress_S_geminata,tau_critical_S_geminata,E_C_diversa,Omega_C_diversa,tau_stress_C_diversa,tau_critical_C_diversa,E_O_smaragdina,Omega_O_smaragdina,tau_stress_O_smaragdina,tau_critical_O_smaragdina,dominant,run_id,site
0.0,0.0,1.0,0.02276176024279211,0.04,0.01294738594738595,1.0,0.017245005257623555,0.0,0.0,1.0,0.10426770126091174,0.0,0.0,1.0,0.022463325183374083,S_geminata,23,"Mac Arthur Hiway, Val."
0.0,0.0,1.0,0.01571582346609257,0.02,0.0036944444444444446,1.0,0.015974096060442526,0.0,0.0,1.0,0.07631318136769079,0.0,0.0,1.0,0.01841595126003877,S_geminata,24,"Mac Arthur Hiway, Val."
0.0,0.0,1.0,0.023007590132827323,0.01,0.004263888888888888,1.0,0.018385521401896008,0.0,0.0,1.0,0.1294485725459523,0.0,0.0,1.0,0.023436632233699878,S_geminata,25,"Mac Arthur Hiway, Val."
0.0,0.0,1.0,0.017478289546004177,0.0,0.0006944444444444445,1.0,0.02760105706175981,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01456953642384106,P_longicornis,26,"Mac Arthur Hiway, Val."
0.0,0.0,1.0,0.015293484114162629,0.0,1.388888888888889e-05,1.0,0.023579028083964344,0.0,0.0,1.0,0.13737461840383777,0.0,0.0,1.0,0.012177650429799427,P_longicornis,27,"Mac Arthur Hiway, Val."
0.0,0.0,1.0,0.01422070534698521,0.01,0.015431373025123027,1.0,0.015944242887149133,0.0,0.0,1.0,0.09299610894941635,0.0,0.0,1.0,0.013461538461538462,S_geminata,28,"Mac Arthur Hiway, Val."
0.0,0.0,1.0,0.012853143293458895,0.01,0.005144145206645207,1.0,0.02569036851727124,0.0,0.0,1.0,0.18602455146364494,0.0,0.0,1.0,0.016110986797941373,S_geminata,29,"Mac Arthur Hiway, Val."
0.0,0.0,1.0,0.013990267639902677,0.01,0.0011805555555555556,1.0,0.020326042096574494,0.0,0.0,1.0,0.1782246879334258,0.0,0.0,1.0,0.018843172331544426,S_geminata,30,"Mac Arthur Hiway, Val."
0.0,0.0,1.0,0.014310246136233544,0.0,0.000986111111111111,1.0,0.01612415600120931,0.0,0.0,1.0,0.10810810810810811,0.0,0.0,1.0,0.012124849939975991,P_longicornis,31,"Mac Arthur Hiway, Val."
0.0,0.0,1.0,0.024300616405879563,0.01,0.0032777777777777775,1.0,0.014083037763404966,0.0,0.0,1.0,0.17133333333333334,0.0,0.0,1.0,0.01816590063471219,S_geminata,32,"Mac Arthur Hiway, Val."
0.0,0.0,1.0,0.014107883817427386,0.0,0.0007222222222222223,1.0,0.02366801103799618,0.0,0.0,1.0,0.11680672268907563,0.0,0.0,1.0,0.012280279316156995,P_longicornis,33,"Mac Arthur Hiway, Val."
0.0,0.0,1.0,0.022719488526087454,0.02,0.0023194444444444443,1.0,0.01562662777372643,0.0,0.0,1.0,0.12737127371273713,0.0,0.0,1.0,0.016308040770101926,S_geminata,34,"Mac Arthur Hiway, Val."
0.0,0.0,1.0,0.01777477781527731,0.02,0.004666666666666666,1.0,0.019205761728518556,0.0,0.0,1.0,0.19324894514767932,0.0,0.0,1.0,0.015779330281859794,S_geminata,35,"Mac Arthur Hiway, Val."
0.0,0.0,1.0,0.0164257555847569,0.01,0.006444444444444445,1.0,0.016066961708678083,0.0,0.0,1.0,0.10208444681988242,0.0,0.0,1.0,0.012935203094777564,S_geminata,36,"Mac Arthur Hiway, Val."
